"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",432,"AC",2015
"(0,1]","MASCULINO",559,"AC",2015
"(1,5]","FEMININO",1026,"AC",2015
"(1,5]","MASCULINO",1236,"AC",2015
"(5,10]","FEMININO",837,"AC",2015
"(5,10]","MASCULINO",1174,"AC",2015
"(10,15]","FEMININO",1556,"AC",2015
"(10,15]","MASCULINO",1008,"AC",2015
"(15,20]","FEMININO",6337,"AC",2015
"(15,20]","MASCULINO",1129,"AC",2015
"(20,25]","FEMININO",5534,"AC",2015
"(20,25]","MASCULINO",1268,"AC",2015
"(25,30]","FEMININO",4529,"AC",2015
"(25,30]","MASCULINO",1374,"AC",2015
"(30,35]","FEMININO",3661,"AC",2015
"(30,35]","MASCULINO",1454,"AC",2015
"(35,40]","FEMININO",2335,"AC",2015
"(35,40]","MASCULINO",1339,"AC",2015
"(40,50]","FEMININO",2577,"AC",2015
"(40,50]","MASCULINO",2294,"AC",2015
"(50,60]","FEMININO",1675,"AC",2015
"(50,60]","MASCULINO",1879,"AC",2015
"(60,70]","FEMININO",1288,"AC",2015
"(60,70]","MASCULINO",1635,"AC",2015
"(70,80]","FEMININO",1107,"AC",2015
"(70,80]","MASCULINO",1310,"AC",2015
"(80,Inf]","FEMININO",736,"AC",2015
"(80,Inf]","MASCULINO",933,"AC",2015
NA,"FEMININO",340,"AC",2015
NA,"MASCULINO",251,"AC",2015
