"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",393,"AC",2018
"(0,1]","MASCULINO",460,"AC",2018
"(1,5]","FEMININO",850,"AC",2018
"(1,5]","MASCULINO",1031,"AC",2018
"(5,10]","FEMININO",717,"AC",2018
"(5,10]","MASCULINO",1003,"AC",2018
"(10,15]","FEMININO",1286,"AC",2018
"(10,15]","MASCULINO",787,"AC",2018
"(15,20]","FEMININO",5573,"AC",2018
"(15,20]","MASCULINO",1010,"AC",2018
"(20,25]","FEMININO",5228,"AC",2018
"(20,25]","MASCULINO",1100,"AC",2018
"(25,30]","FEMININO",4343,"AC",2018
"(25,30]","MASCULINO",1039,"AC",2018
"(30,35]","FEMININO",3299,"AC",2018
"(30,35]","MASCULINO",1031,"AC",2018
"(35,40]","FEMININO",2431,"AC",2018
"(35,40]","MASCULINO",1116,"AC",2018
"(40,50]","FEMININO",2373,"AC",2018
"(40,50]","MASCULINO",1975,"AC",2018
"(50,60]","FEMININO",1554,"AC",2018
"(50,60]","MASCULINO",1692,"AC",2018
"(60,70]","FEMININO",1349,"AC",2018
"(60,70]","MASCULINO",1725,"AC",2018
"(70,80]","FEMININO",1016,"AC",2018
"(70,80]","MASCULINO",1206,"AC",2018
"(80,Inf]","FEMININO",696,"AC",2018
"(80,Inf]","MASCULINO",790,"AC",2018
NA,"FEMININO",576,"AC",2018
NA,"MASCULINO",430,"AC",2018
