"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",2258,"AL",2019
"(0,1]","MASCULINO",2871,"AL",2019
"(1,5]","FEMININO",4516,"AL",2019
"(1,5]","MASCULINO",5505,"AL",2019
"(5,10]","FEMININO",2806,"AL",2019
"(5,10]","MASCULINO",3896,"AL",2019
"(10,15]","FEMININO",3440,"AL",2019
"(10,15]","MASCULINO",2500,"AL",2019
"(15,20]","FEMININO",16061,"AL",2019
"(15,20]","MASCULINO",3089,"AL",2019
"(20,25]","FEMININO",18373,"AL",2019
"(20,25]","MASCULINO",3688,"AL",2019
"(25,30]","FEMININO",13835,"AL",2019
"(25,30]","MASCULINO",3479,"AL",2019
"(30,35]","FEMININO",11076,"AL",2019
"(30,35]","MASCULINO",3796,"AL",2019
"(35,40]","FEMININO",8398,"AL",2019
"(35,40]","MASCULINO",4182,"AL",2019
"(40,50]","FEMININO",11028,"AL",2019
"(40,50]","MASCULINO",8790,"AL",2019
"(50,60]","FEMININO",9215,"AL",2019
"(50,60]","MASCULINO",9661,"AL",2019
"(60,70]","FEMININO",8187,"AL",2019
"(60,70]","MASCULINO",8872,"AL",2019
"(70,80]","FEMININO",6292,"AL",2019
"(70,80]","MASCULINO",6176,"AL",2019
"(80,Inf]","FEMININO",3813,"AL",2019
"(80,Inf]","MASCULINO",2821,"AL",2019
NA,"FEMININO",1608,"AL",2019
NA,"MASCULINO",1956,"AL",2019
