"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",2948,"AM",2013
"(0,1]","MASCULINO",3659,"AM",2013
"(1,5]","FEMININO",5553,"AM",2013
"(1,5]","MASCULINO",6827,"AM",2013
"(5,10]","FEMININO",3945,"AM",2013
"(5,10]","MASCULINO",5354,"AM",2013
"(10,15]","FEMININO",6191,"AM",2013
"(10,15]","MASCULINO",3229,"AM",2013
"(15,20]","FEMININO",23434,"AM",2013
"(15,20]","MASCULINO",3027,"AM",2013
"(20,25]","FEMININO",21164,"AM",2013
"(20,25]","MASCULINO",3011,"AM",2013
"(25,30]","FEMININO",17473,"AM",2013
"(25,30]","MASCULINO",3345,"AM",2013
"(30,35]","FEMININO",11390,"AM",2013
"(30,35]","MASCULINO",3255,"AM",2013
"(35,40]","FEMININO",6825,"AM",2013
"(35,40]","MASCULINO",2975,"AM",2013
"(40,50]","FEMININO",7032,"AM",2013
"(40,50]","MASCULINO",5568,"AM",2013
"(50,60]","FEMININO",5329,"AM",2013
"(50,60]","MASCULINO",6104,"AM",2013
"(60,70]","FEMININO",4220,"AM",2013
"(60,70]","MASCULINO",5745,"AM",2013
"(70,80]","FEMININO",3490,"AM",2013
"(70,80]","MASCULINO",4174,"AM",2013
"(80,Inf]","FEMININO",2252,"AM",2013
"(80,Inf]","MASCULINO",2346,"AM",2013
NA,"FEMININO",857,"AM",2013
NA,"MASCULINO",698,"AM",2013
