"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",516,"AP",2020
"(0,1]","MASCULINO",570,"AP",2020
"(1,5]","FEMININO",814,"AP",2020
"(1,5]","MASCULINO",908,"AP",2020
"(5,10]","FEMININO",549,"AP",2020
"(5,10]","MASCULINO",743,"AP",2020
"(10,15]","FEMININO",827,"AP",2020
"(10,15]","MASCULINO",343,"AP",2020
"(15,20]","FEMININO",4126,"AP",2020
"(15,20]","MASCULINO",394,"AP",2020
"(20,25]","FEMININO",4858,"AP",2020
"(20,25]","MASCULINO",400,"AP",2020
"(25,30]","FEMININO",3973,"AP",2020
"(25,30]","MASCULINO",398,"AP",2020
"(30,35]","FEMININO",2892,"AP",2020
"(30,35]","MASCULINO",440,"AP",2020
"(35,40]","FEMININO",1893,"AP",2020
"(35,40]","MASCULINO",570,"AP",2020
"(40,50]","FEMININO",1549,"AP",2020
"(40,50]","MASCULINO",1067,"AP",2020
"(50,60]","FEMININO",884,"AP",2020
"(50,60]","MASCULINO",1215,"AP",2020
"(60,70]","FEMININO",683,"AP",2020
"(60,70]","MASCULINO",1102,"AP",2020
"(70,80]","FEMININO",529,"AP",2020
"(70,80]","MASCULINO",728,"AP",2020
"(80,Inf]","FEMININO",318,"AP",2020
"(80,Inf]","MASCULINO",384,"AP",2020
NA,"FEMININO",623,"AP",2020
NA,"MASCULINO",566,"AP",2020
