"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",11172,"BA",2014
"(0,1]","MASCULINO",13568,"BA",2014
"(1,5]","FEMININO",26123,"BA",2014
"(1,5]","MASCULINO",34003,"BA",2014
"(5,10]","FEMININO",17476,"BA",2014
"(5,10]","MASCULINO",24371,"BA",2014
"(10,15]","FEMININO",19496,"BA",2014
"(10,15]","MASCULINO",15985,"BA",2014
"(15,20]","FEMININO",65860,"BA",2014
"(15,20]","MASCULINO",16101,"BA",2014
"(20,25]","FEMININO",66889,"BA",2014
"(20,25]","MASCULINO",16060,"BA",2014
"(25,30]","FEMININO",66297,"BA",2014
"(25,30]","MASCULINO",18247,"BA",2014
"(30,35]","FEMININO",53180,"BA",2014
"(30,35]","MASCULINO",19682,"BA",2014
"(35,40]","FEMININO",35895,"BA",2014
"(35,40]","MASCULINO",18293,"BA",2014
"(40,50]","FEMININO",48575,"BA",2014
"(40,50]","MASCULINO",36405,"BA",2014
"(50,60]","FEMININO",38901,"BA",2014
"(50,60]","MASCULINO",39604,"BA",2014
"(60,70]","FEMININO",37538,"BA",2014
"(60,70]","MASCULINO",40057,"BA",2014
"(70,80]","FEMININO",33907,"BA",2014
"(70,80]","MASCULINO",31666,"BA",2014
"(80,Inf]","FEMININO",25981,"BA",2014
"(80,Inf]","MASCULINO",20536,"BA",2014
NA,"FEMININO",3771,"BA",2014
NA,"MASCULINO",3750,"BA",2014
