"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",5511,"CE",2021
"(0,1]","MASCULINO",6710,"CE",2021
"(1,5]","FEMININO",10857,"CE",2021
"(1,5]","MASCULINO",13433,"CE",2021
"(5,10]","FEMININO",7347,"CE",2021
"(5,10]","MASCULINO",9965,"CE",2021
"(10,15]","FEMININO",8610,"CE",2021
"(10,15]","MASCULINO",7896,"CE",2021
"(15,20]","FEMININO",30284,"CE",2021
"(15,20]","MASCULINO",8851,"CE",2021
"(20,25]","FEMININO",43128,"CE",2021
"(20,25]","MASCULINO",11603,"CE",2021
"(25,30]","FEMININO",38529,"CE",2021
"(25,30]","MASCULINO",11613,"CE",2021
"(30,35]","FEMININO",31917,"CE",2021
"(30,35]","MASCULINO",12822,"CE",2021
"(35,40]","FEMININO",23242,"CE",2021
"(35,40]","MASCULINO",13428,"CE",2021
"(40,50]","FEMININO",27698,"CE",2021
"(40,50]","MASCULINO",27714,"CE",2021
"(50,60]","FEMININO",25785,"CE",2021
"(50,60]","MASCULINO",31596,"CE",2021
"(60,70]","FEMININO",24242,"CE",2021
"(60,70]","MASCULINO",28209,"CE",2021
"(70,80]","FEMININO",21745,"CE",2021
"(70,80]","MASCULINO",23176,"CE",2021
"(80,Inf]","FEMININO",17291,"CE",2021
"(80,Inf]","MASCULINO",15296,"CE",2021
NA,"FEMININO",7493,"CE",2021
NA,"MASCULINO",8157,"CE",2021
