"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",2559,"DF",2018
"(0,1]","MASCULINO",2986,"DF",2018
"(1,5]","FEMININO",5591,"DF",2018
"(1,5]","MASCULINO",7148,"DF",2018
"(5,10]","FEMININO",4406,"DF",2018
"(5,10]","MASCULINO",5978,"DF",2018
"(10,15]","FEMININO",4180,"DF",2018
"(10,15]","MASCULINO",3689,"DF",2018
"(15,20]","FEMININO",14301,"DF",2018
"(15,20]","MASCULINO",3780,"DF",2018
"(20,25]","FEMININO",18799,"DF",2018
"(20,25]","MASCULINO",4079,"DF",2018
"(25,30]","FEMININO",16380,"DF",2018
"(25,30]","MASCULINO",4511,"DF",2018
"(30,35]","FEMININO",13564,"DF",2018
"(30,35]","MASCULINO",4725,"DF",2018
"(35,40]","FEMININO",10516,"DF",2018
"(35,40]","MASCULINO",5238,"DF",2018
"(40,50]","FEMININO",11207,"DF",2018
"(40,50]","MASCULINO",9501,"DF",2018
"(50,60]","FEMININO",9251,"DF",2018
"(50,60]","MASCULINO",10066,"DF",2018
"(60,70]","FEMININO",8453,"DF",2018
"(60,70]","MASCULINO",8999,"DF",2018
"(70,80]","FEMININO",5905,"DF",2018
"(70,80]","MASCULINO",6131,"DF",2018
"(80,Inf]","FEMININO",3731,"DF",2018
"(80,Inf]","MASCULINO",3047,"DF",2018
NA,"FEMININO",10602,"DF",2018
NA,"MASCULINO",11320,"DF",2018
