"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",2645,"ES",2014
"(0,1]","MASCULINO",3277,"ES",2014
"(1,5]","FEMININO",6155,"ES",2014
"(1,5]","MASCULINO",7661,"ES",2014
"(5,10]","FEMININO",4179,"ES",2014
"(5,10]","MASCULINO",5720,"ES",2014
"(10,15]","FEMININO",4255,"ES",2014
"(10,15]","MASCULINO",3954,"ES",2014
"(15,20]","FEMININO",15021,"ES",2014
"(15,20]","MASCULINO",4800,"ES",2014
"(20,25]","FEMININO",15315,"ES",2014
"(20,25]","MASCULINO",5083,"ES",2014
"(25,30]","FEMININO",13842,"ES",2014
"(25,30]","MASCULINO",5639,"ES",2014
"(30,35]","FEMININO",11664,"ES",2014
"(30,35]","MASCULINO",5989,"ES",2014
"(35,40]","FEMININO",8551,"ES",2014
"(35,40]","MASCULINO",6147,"ES",2014
"(40,50]","FEMININO",14315,"ES",2014
"(40,50]","MASCULINO",13302,"ES",2014
"(50,60]","FEMININO",14017,"ES",2014
"(50,60]","MASCULINO",15577,"ES",2014
"(60,70]","FEMININO",11018,"ES",2014
"(60,70]","MASCULINO",13379,"ES",2014
"(70,80]","FEMININO",9142,"ES",2014
"(70,80]","MASCULINO",9641,"ES",2014
"(80,Inf]","FEMININO",6922,"ES",2014
"(80,Inf]","MASCULINO",5731,"ES",2014
NA,"FEMININO",768,"ES",2014
NA,"MASCULINO",939,"ES",2014
