"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",4357,"GO",2011
"(0,1]","MASCULINO",5418,"GO",2011
"(1,5]","FEMININO",9232,"GO",2011
"(1,5]","MASCULINO",11388,"GO",2011
"(5,10]","FEMININO",7086,"GO",2011
"(5,10]","MASCULINO",9316,"GO",2011
"(10,15]","FEMININO",6918,"GO",2011
"(10,15]","MASCULINO",6184,"GO",2011
"(15,20]","FEMININO",22430,"GO",2011
"(15,20]","MASCULINO",8485,"GO",2011
"(20,25]","FEMININO",25690,"GO",2011
"(20,25]","MASCULINO",10612,"GO",2011
"(25,30]","FEMININO",21644,"GO",2011
"(25,30]","MASCULINO",11414,"GO",2011
"(30,35]","FEMININO",17158,"GO",2011
"(30,35]","MASCULINO",12041,"GO",2011
"(35,40]","FEMININO",14204,"GO",2011
"(35,40]","MASCULINO",11437,"GO",2011
"(40,50]","FEMININO",25715,"GO",2011
"(40,50]","MASCULINO",23202,"GO",2011
"(50,60]","FEMININO",22013,"GO",2011
"(50,60]","MASCULINO",22286,"GO",2011
"(60,70]","FEMININO",17943,"GO",2011
"(60,70]","MASCULINO",19413,"GO",2011
"(70,80]","FEMININO",15657,"GO",2011
"(70,80]","MASCULINO",15738,"GO",2011
"(80,Inf]","FEMININO",8489,"GO",2011
"(80,Inf]","MASCULINO",8089,"GO",2011
NA,"FEMININO",1415,"GO",2011
NA,"MASCULINO",1656,"GO",2011
