"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",4835,"MA",2020
"(0,1]","MASCULINO",5599,"MA",2020
"(1,5]","FEMININO",9471,"MA",2020
"(1,5]","MASCULINO",11397,"MA",2020
"(5,10]","FEMININO",6881,"MA",2020
"(5,10]","MASCULINO",9823,"MA",2020
"(10,15]","FEMININO",8899,"MA",2020
"(10,15]","MASCULINO",7548,"MA",2020
"(15,20]","FEMININO",36025,"MA",2020
"(15,20]","MASCULINO",8681,"MA",2020
"(20,25]","FEMININO",39612,"MA",2020
"(20,25]","MASCULINO",9399,"MA",2020
"(25,30]","FEMININO",31981,"MA",2020
"(25,30]","MASCULINO",9414,"MA",2020
"(30,35]","FEMININO",25514,"MA",2020
"(30,35]","MASCULINO",10482,"MA",2020
"(35,40]","FEMININO",18178,"MA",2020
"(35,40]","MASCULINO",10909,"MA",2020
"(40,50]","FEMININO",21803,"MA",2020
"(40,50]","MASCULINO",19138,"MA",2020
"(50,60]","FEMININO",17619,"MA",2020
"(50,60]","MASCULINO",18768,"MA",2020
"(60,70]","FEMININO",17134,"MA",2020
"(60,70]","MASCULINO",19734,"MA",2020
"(70,80]","FEMININO",13522,"MA",2020
"(70,80]","MASCULINO",15317,"MA",2020
"(80,Inf]","FEMININO",8877,"MA",2020
"(80,Inf]","MASCULINO",8806,"MA",2020
NA,"FEMININO",2036,"MA",2020
NA,"MASCULINO",2028,"MA",2020
