"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",7985,"MG",2020
"(0,1]","MASCULINO",9537,"MG",2020
"(1,5]","FEMININO",16771,"MG",2020
"(1,5]","MASCULINO",20523,"MG",2020
"(5,10]","FEMININO",11603,"MG",2020
"(5,10]","MASCULINO",16114,"MG",2020
"(10,15]","FEMININO",12216,"MG",2020
"(10,15]","MASCULINO",12398,"MG",2020
"(15,20]","FEMININO",54024,"MG",2020
"(15,20]","MASCULINO",17607,"MG",2020
"(20,25]","FEMININO",77009,"MG",2020
"(20,25]","MASCULINO",22669,"MG",2020
"(25,30]","FEMININO",69043,"MG",2020
"(25,30]","MASCULINO",22068,"MG",2020
"(30,35]","FEMININO",57777,"MG",2020
"(30,35]","MASCULINO",24186,"MG",2020
"(35,40]","FEMININO",46077,"MG",2020
"(35,40]","MASCULINO",28714,"MG",2020
"(40,50]","FEMININO",60981,"MG",2020
"(40,50]","MASCULINO",65348,"MG",2020
"(50,60]","FEMININO",67006,"MG",2020
"(50,60]","MASCULINO",85540,"MG",2020
"(60,70]","FEMININO",71403,"MG",2020
"(60,70]","MASCULINO",93159,"MG",2020
"(70,80]","FEMININO",60489,"MG",2020
"(70,80]","MASCULINO",66715,"MG",2020
"(80,Inf]","FEMININO",52734,"MG",2020
"(80,Inf]","MASCULINO",41218,"MG",2020
NA,"FEMININO",8789,"MG",2020
NA,"MASCULINO",9990,"MG",2020
