"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",1455,"MS",2021
"(0,1]","MASCULINO",1722,"MS",2021
"(1,5]","FEMININO",2925,"MS",2021
"(1,5]","MASCULINO",3407,"MS",2021
"(5,10]","FEMININO",1952,"MS",2021
"(5,10]","MASCULINO",2714,"MS",2021
"(10,15]","FEMININO",2271,"MS",2021
"(10,15]","MASCULINO",1989,"MS",2021
"(15,20]","FEMININO",10489,"MS",2021
"(15,20]","MASCULINO",2799,"MS",2021
"(20,25]","FEMININO",14228,"MS",2021
"(20,25]","MASCULINO",3673,"MS",2021
"(25,30]","FEMININO",12205,"MS",2021
"(25,30]","MASCULINO",3784,"MS",2021
"(30,35]","FEMININO",9054,"MS",2021
"(30,35]","MASCULINO",4119,"MS",2021
"(35,40]","FEMININO",6942,"MS",2021
"(35,40]","MASCULINO",4570,"MS",2021
"(40,50]","FEMININO",9210,"MS",2021
"(40,50]","MASCULINO",10395,"MS",2021
"(50,60]","FEMININO",9424,"MS",2021
"(50,60]","MASCULINO",12317,"MS",2021
"(60,70]","FEMININO",9571,"MS",2021
"(60,70]","MASCULINO",11770,"MS",2021
"(70,80]","FEMININO",7381,"MS",2021
"(70,80]","MASCULINO",8456,"MS",2021
"(80,Inf]","FEMININO",4827,"MS",2021
"(80,Inf]","MASCULINO",4798,"MS",2021
NA,"FEMININO",915,"MS",2021
NA,"MASCULINO",981,"MS",2021
