"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",1544,"MT",2020
"(0,1]","MASCULINO",1817,"MT",2020
"(1,5]","FEMININO",3023,"MT",2020
"(1,5]","MASCULINO",3726,"MT",2020
"(5,10]","FEMININO",2241,"MT",2020
"(5,10]","MASCULINO",3246,"MT",2020
"(10,15]","FEMININO",2946,"MT",2020
"(10,15]","MASCULINO",2460,"MT",2020
"(15,20]","FEMININO",13843,"MT",2020
"(15,20]","MASCULINO",3430,"MT",2020
"(20,25]","FEMININO",17892,"MT",2020
"(20,25]","MASCULINO",4221,"MT",2020
"(25,30]","FEMININO",14627,"MT",2020
"(25,30]","MASCULINO",3910,"MT",2020
"(30,35]","FEMININO",11198,"MT",2020
"(30,35]","MASCULINO",4502,"MT",2020
"(35,40]","FEMININO",7870,"MT",2020
"(35,40]","MASCULINO",4794,"MT",2020
"(40,50]","FEMININO",9495,"MT",2020
"(40,50]","MASCULINO",9900,"MT",2020
"(50,60]","FEMININO",7735,"MT",2020
"(50,60]","MASCULINO",10942,"MT",2020
"(60,70]","FEMININO",7077,"MT",2020
"(60,70]","MASCULINO",10126,"MT",2020
"(70,80]","FEMININO",5374,"MT",2020
"(70,80]","MASCULINO",7141,"MT",2020
"(80,Inf]","FEMININO",3367,"MT",2020
"(80,Inf]","MASCULINO",3852,"MT",2020
NA,"FEMININO",920,"MT",2020
NA,"MASCULINO",1084,"MT",2020
