"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",6672,"PA",2020
"(0,1]","MASCULINO",7867,"PA",2020
"(1,5]","FEMININO",11296,"PA",2020
"(1,5]","MASCULINO",13512,"PA",2020
"(5,10]","FEMININO",7873,"PA",2020
"(5,10]","MASCULINO",10905,"PA",2020
"(10,15]","FEMININO",10513,"PA",2020
"(10,15]","MASCULINO",8182,"PA",2020
"(15,20]","FEMININO",44658,"PA",2020
"(15,20]","MASCULINO",9669,"PA",2020
"(20,25]","FEMININO",50450,"PA",2020
"(20,25]","MASCULINO",10919,"PA",2020
"(25,30]","FEMININO",39007,"PA",2020
"(25,30]","MASCULINO",10836,"PA",2020
"(30,35]","FEMININO",27626,"PA",2020
"(30,35]","MASCULINO",11021,"PA",2020
"(35,40]","FEMININO",19339,"PA",2020
"(35,40]","MASCULINO",11373,"PA",2020
"(40,50]","FEMININO",22519,"PA",2020
"(40,50]","MASCULINO",21178,"PA",2020
"(50,60]","FEMININO",16688,"PA",2020
"(50,60]","MASCULINO",20442,"PA",2020
"(60,70]","FEMININO",14967,"PA",2020
"(60,70]","MASCULINO",19449,"PA",2020
"(70,80]","FEMININO",11237,"PA",2020
"(70,80]","MASCULINO",13921,"PA",2020
"(80,Inf]","FEMININO",6612,"PA",2020
"(80,Inf]","MASCULINO",6666,"PA",2020
NA,"FEMININO",2631,"PA",2020
NA,"MASCULINO",2955,"PA",2020
