"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",6897,"PA",2021
"(0,1]","MASCULINO",8367,"PA",2021
"(1,5]","FEMININO",11942,"PA",2021
"(1,5]","MASCULINO",15043,"PA",2021
"(5,10]","FEMININO",8229,"PA",2021
"(5,10]","MASCULINO",11372,"PA",2021
"(10,15]","FEMININO",11287,"PA",2021
"(10,15]","MASCULINO",8947,"PA",2021
"(15,20]","FEMININO",45554,"PA",2021
"(15,20]","MASCULINO",9618,"PA",2021
"(20,25]","FEMININO",52539,"PA",2021
"(20,25]","MASCULINO",11308,"PA",2021
"(25,30]","FEMININO",41166,"PA",2021
"(25,30]","MASCULINO",11406,"PA",2021
"(30,35]","FEMININO",29366,"PA",2021
"(30,35]","MASCULINO",11718,"PA",2021
"(35,40]","FEMININO",21168,"PA",2021
"(35,40]","MASCULINO",12611,"PA",2021
"(40,50]","FEMININO",26478,"PA",2021
"(40,50]","MASCULINO",24949,"PA",2021
"(50,60]","FEMININO",20175,"PA",2021
"(50,60]","MASCULINO",23764,"PA",2021
"(60,70]","FEMININO",17830,"PA",2021
"(60,70]","MASCULINO",22375,"PA",2021
"(70,80]","FEMININO",13238,"PA",2021
"(70,80]","MASCULINO",15599,"PA",2021
"(80,Inf]","FEMININO",7591,"PA",2021
"(80,Inf]","MASCULINO",7764,"PA",2021
NA,"FEMININO",3084,"PA",2021
NA,"MASCULINO",3482,"PA",2021
