"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",2700,"PB",2012
"(0,1]","MASCULINO",3387,"PB",2012
"(1,5]","FEMININO",5928,"PB",2012
"(1,5]","MASCULINO",7614,"PB",2012
"(5,10]","FEMININO",4059,"PB",2012
"(5,10]","MASCULINO",5673,"PB",2012
"(10,15]","FEMININO",4665,"PB",2012
"(10,15]","MASCULINO",3765,"PB",2012
"(15,20]","FEMININO",15907,"PB",2012
"(15,20]","MASCULINO",4093,"PB",2012
"(20,25]","FEMININO",18279,"PB",2012
"(20,25]","MASCULINO",5012,"PB",2012
"(25,30]","FEMININO",15979,"PB",2012
"(25,30]","MASCULINO",5222,"PB",2012
"(30,35]","FEMININO",12062,"PB",2012
"(30,35]","MASCULINO",5049,"PB",2012
"(35,40]","FEMININO",8137,"PB",2012
"(35,40]","MASCULINO",4973,"PB",2012
"(40,50]","FEMININO",11412,"PB",2012
"(40,50]","MASCULINO",10459,"PB",2012
"(50,60]","FEMININO",8917,"PB",2012
"(50,60]","MASCULINO",9255,"PB",2012
"(60,70]","FEMININO",8803,"PB",2012
"(60,70]","MASCULINO",8924,"PB",2012
"(70,80]","FEMININO",8102,"PB",2012
"(70,80]","MASCULINO",7306,"PB",2012
"(80,Inf]","FEMININO",6311,"PB",2012
"(80,Inf]","MASCULINO",5235,"PB",2012
NA,"FEMININO",1521,"PB",2012
NA,"MASCULINO",1458,"PB",2012
