"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",2198,"PB",2017
"(0,1]","MASCULINO",2756,"PB",2017
"(1,5]","FEMININO",4484,"PB",2017
"(1,5]","MASCULINO",5677,"PB",2017
"(5,10]","FEMININO",3057,"PB",2017
"(5,10]","MASCULINO",4063,"PB",2017
"(10,15]","FEMININO",3834,"PB",2017
"(10,15]","MASCULINO",2717,"PB",2017
"(15,20]","FEMININO",15189,"PB",2017
"(15,20]","MASCULINO",3388,"PB",2017
"(20,25]","FEMININO",17605,"PB",2017
"(20,25]","MASCULINO",3929,"PB",2017
"(25,30]","FEMININO",15191,"PB",2017
"(25,30]","MASCULINO",3644,"PB",2017
"(30,35]","FEMININO",12386,"PB",2017
"(30,35]","MASCULINO",3919,"PB",2017
"(35,40]","FEMININO",8699,"PB",2017
"(35,40]","MASCULINO",4109,"PB",2017
"(40,50]","FEMININO",10281,"PB",2017
"(40,50]","MASCULINO",8632,"PB",2017
"(50,60]","FEMININO",8637,"PB",2017
"(50,60]","MASCULINO",9403,"PB",2017
"(60,70]","FEMININO",8738,"PB",2017
"(60,70]","MASCULINO",8730,"PB",2017
"(70,80]","FEMININO",8284,"PB",2017
"(70,80]","MASCULINO",7538,"PB",2017
"(80,Inf]","FEMININO",6693,"PB",2017
"(80,Inf]","MASCULINO",5258,"PB",2017
NA,"FEMININO",1569,"PB",2017
NA,"MASCULINO",1619,"PB",2017
