"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",7224,"PE",2018
"(0,1]","MASCULINO",8649,"PE",2018
"(1,5]","FEMININO",14987,"PE",2018
"(1,5]","MASCULINO",19090,"PE",2018
"(5,10]","FEMININO",9319,"PE",2018
"(5,10]","MASCULINO",13709,"PE",2018
"(10,15]","FEMININO",10492,"PE",2018
"(10,15]","MASCULINO",9747,"PE",2018
"(15,20]","FEMININO",41021,"PE",2018
"(15,20]","MASCULINO",10787,"PE",2018
"(20,25]","FEMININO",47064,"PE",2018
"(20,25]","MASCULINO",11839,"PE",2018
"(25,30]","FEMININO",40563,"PE",2018
"(25,30]","MASCULINO",12061,"PE",2018
"(30,35]","FEMININO",31708,"PE",2018
"(30,35]","MASCULINO",12996,"PE",2018
"(35,40]","FEMININO",23395,"PE",2018
"(35,40]","MASCULINO",13968,"PE",2018
"(40,50]","FEMININO",31798,"PE",2018
"(40,50]","MASCULINO",28693,"PE",2018
"(50,60]","FEMININO",29849,"PE",2018
"(50,60]","MASCULINO",32215,"PE",2018
"(60,70]","FEMININO",29101,"PE",2018
"(60,70]","MASCULINO",31506,"PE",2018
"(70,80]","FEMININO",25220,"PE",2018
"(70,80]","MASCULINO",23660,"PE",2018
"(80,Inf]","FEMININO",18184,"PE",2018
"(80,Inf]","MASCULINO",13057,"PE",2018
NA,"FEMININO",4332,"PE",2018
NA,"MASCULINO",5050,"PE",2018
