"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",7363,"PE",2019
"(0,1]","MASCULINO",8957,"PE",2019
"(1,5]","FEMININO",15101,"PE",2019
"(1,5]","MASCULINO",19487,"PE",2019
"(5,10]","FEMININO",10098,"PE",2019
"(5,10]","MASCULINO",14174,"PE",2019
"(10,15]","FEMININO",10501,"PE",2019
"(10,15]","MASCULINO",9584,"PE",2019
"(15,20]","FEMININO",39059,"PE",2019
"(15,20]","MASCULINO",10490,"PE",2019
"(20,25]","FEMININO",47242,"PE",2019
"(20,25]","MASCULINO",11866,"PE",2019
"(25,30]","FEMININO",40446,"PE",2019
"(25,30]","MASCULINO",12052,"PE",2019
"(30,35]","FEMININO",33054,"PE",2019
"(30,35]","MASCULINO",12955,"PE",2019
"(35,40]","FEMININO",25121,"PE",2019
"(35,40]","MASCULINO",14414,"PE",2019
"(40,50]","FEMININO",34665,"PE",2019
"(40,50]","MASCULINO",30061,"PE",2019
"(50,60]","FEMININO",31653,"PE",2019
"(50,60]","MASCULINO",34065,"PE",2019
"(60,70]","FEMININO",31404,"PE",2019
"(60,70]","MASCULINO",33690,"PE",2019
"(70,80]","FEMININO",27078,"PE",2019
"(70,80]","MASCULINO",25356,"PE",2019
"(80,Inf]","FEMININO",19473,"PE",2019
"(80,Inf]","MASCULINO",14202,"PE",2019
NA,"FEMININO",4354,"PE",2019
NA,"MASCULINO",4958,"PE",2019
