"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",3162,"PI",2011
"(0,1]","MASCULINO",3707,"PI",2011
"(1,5]","FEMININO",7052,"PI",2011
"(1,5]","MASCULINO",8158,"PI",2011
"(5,10]","FEMININO",4988,"PI",2011
"(5,10]","MASCULINO",6525,"PI",2011
"(10,15]","FEMININO",5527,"PI",2011
"(10,15]","MASCULINO",4374,"PI",2011
"(15,20]","FEMININO",19634,"PI",2011
"(15,20]","MASCULINO",4705,"PI",2011
"(20,25]","FEMININO",24162,"PI",2011
"(20,25]","MASCULINO",5787,"PI",2011
"(25,30]","FEMININO",19163,"PI",2011
"(25,30]","MASCULINO",5761,"PI",2011
"(30,35]","FEMININO",12826,"PI",2011
"(30,35]","MASCULINO",5366,"PI",2011
"(35,40]","FEMININO",7989,"PI",2011
"(35,40]","MASCULINO",4885,"PI",2011
"(40,50]","FEMININO",12448,"PI",2011
"(40,50]","MASCULINO",9504,"PI",2011
"(50,60]","FEMININO",10903,"PI",2011
"(50,60]","MASCULINO",9465,"PI",2011
"(60,70]","FEMININO",10722,"PI",2011
"(60,70]","MASCULINO",10130,"PI",2011
"(70,80]","FEMININO",9293,"PI",2011
"(70,80]","MASCULINO",8573,"PI",2011
"(80,Inf]","FEMININO",5455,"PI",2011
"(80,Inf]","MASCULINO",5088,"PI",2011
NA,"FEMININO",756,"PI",2011
NA,"MASCULINO",914,"PI",2011
