"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",2081,"PI",2018
"(0,1]","MASCULINO",2620,"PI",2018
"(1,5]","FEMININO",4697,"PI",2018
"(1,5]","MASCULINO",6212,"PI",2018
"(5,10]","FEMININO",3493,"PI",2018
"(5,10]","MASCULINO",5314,"PI",2018
"(10,15]","FEMININO",4418,"PI",2018
"(10,15]","MASCULINO",3815,"PI",2018
"(15,20]","FEMININO",17336,"PI",2018
"(15,20]","MASCULINO",4699,"PI",2018
"(20,25]","FEMININO",18990,"PI",2018
"(20,25]","MASCULINO",4986,"PI",2018
"(25,30]","FEMININO",16903,"PI",2018
"(25,30]","MASCULINO",5174,"PI",2018
"(30,35]","FEMININO",14051,"PI",2018
"(30,35]","MASCULINO",5738,"PI",2018
"(35,40]","FEMININO",9627,"PI",2018
"(35,40]","MASCULINO",5826,"PI",2018
"(40,50]","FEMININO",11861,"PI",2018
"(40,50]","MASCULINO",10905,"PI",2018
"(50,60]","FEMININO",10190,"PI",2018
"(50,60]","MASCULINO",10912,"PI",2018
"(60,70]","FEMININO",10320,"PI",2018
"(60,70]","MASCULINO",10733,"PI",2018
"(70,80]","FEMININO",9114,"PI",2018
"(70,80]","MASCULINO",9446,"PI",2018
"(80,Inf]","FEMININO",6920,"PI",2018
"(80,Inf]","MASCULINO",5715,"PI",2018
NA,"FEMININO",1921,"PI",2018
NA,"MASCULINO",2047,"PI",2018
