"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",7150,"PR",2016
"(0,1]","MASCULINO",9226,"PR",2016
"(1,5]","FEMININO",15648,"PR",2016
"(1,5]","MASCULINO",21721,"PR",2016
"(5,10]","FEMININO",12406,"PR",2016
"(5,10]","MASCULINO",17885,"PR",2016
"(10,15]","FEMININO",12288,"PR",2016
"(10,15]","MASCULINO",12728,"PR",2016
"(15,20]","FEMININO",46055,"PR",2016
"(15,20]","MASCULINO",16751,"PR",2016
"(20,25]","FEMININO",51670,"PR",2016
"(20,25]","MASCULINO",19398,"PR",2016
"(25,30]","FEMININO",44109,"PR",2016
"(25,30]","MASCULINO",18443,"PR",2016
"(30,35]","FEMININO",36328,"PR",2016
"(30,35]","MASCULINO",20039,"PR",2016
"(35,40]","FEMININO",29729,"PR",2016
"(35,40]","MASCULINO",20978,"PR",2016
"(40,50]","FEMININO",51464,"PR",2016
"(40,50]","MASCULINO",49039,"PR",2016
"(50,60]","FEMININO",53546,"PR",2016
"(50,60]","MASCULINO",58930,"PR",2016
"(60,70]","FEMININO",51053,"PR",2016
"(60,70]","MASCULINO",57882,"PR",2016
"(70,80]","FEMININO",41028,"PR",2016
"(70,80]","MASCULINO",42877,"PR",2016
"(80,Inf]","FEMININO",24810,"PR",2016
"(80,Inf]","MASCULINO",21157,"PR",2016
NA,"FEMININO",5256,"PR",2016
NA,"MASCULINO",6076,"PR",2016
