"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",8062,"RJ",2012
"(0,1]","MASCULINO",9407,"RJ",2012
"(1,5]","FEMININO",17368,"RJ",2012
"(1,5]","MASCULINO",22493,"RJ",2012
"(5,10]","FEMININO",11381,"RJ",2012
"(5,10]","MASCULINO",16300,"RJ",2012
"(10,15]","FEMININO",11994,"RJ",2012
"(10,15]","MASCULINO",10743,"RJ",2012
"(15,20]","FEMININO",46379,"RJ",2012
"(15,20]","MASCULINO",10236,"RJ",2012
"(20,25]","FEMININO",48875,"RJ",2012
"(20,25]","MASCULINO",12474,"RJ",2012
"(25,30]","FEMININO",40936,"RJ",2012
"(25,30]","MASCULINO",14018,"RJ",2012
"(30,35]","FEMININO",32481,"RJ",2012
"(30,35]","MASCULINO",15869,"RJ",2012
"(35,40]","FEMININO",24663,"RJ",2012
"(35,40]","MASCULINO",16888,"RJ",2012
"(40,50]","FEMININO",44865,"RJ",2012
"(40,50]","MASCULINO",41713,"RJ",2012
"(50,60]","FEMININO",44081,"RJ",2012
"(50,60]","MASCULINO",52152,"RJ",2012
"(60,70]","FEMININO",36862,"RJ",2012
"(60,70]","MASCULINO",43509,"RJ",2012
"(70,80]","FEMININO",30644,"RJ",2012
"(70,80]","MASCULINO",30201,"RJ",2012
"(80,Inf]","FEMININO",21740,"RJ",2012
"(80,Inf]","MASCULINO",14317,"RJ",2012
NA,"FEMININO",5438,"RJ",2012
NA,"MASCULINO",5529,"RJ",2012
