"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",8144,"RJ",2019
"(0,1]","MASCULINO",9739,"RJ",2019
"(1,5]","FEMININO",16604,"RJ",2019
"(1,5]","MASCULINO",22173,"RJ",2019
"(5,10]","FEMININO",10862,"RJ",2019
"(5,10]","MASCULINO",16737,"RJ",2019
"(10,15]","FEMININO",10798,"RJ",2019
"(10,15]","MASCULINO",10254,"RJ",2019
"(15,20]","FEMININO",46790,"RJ",2019
"(15,20]","MASCULINO",11966,"RJ",2019
"(20,25]","FEMININO",61772,"RJ",2019
"(20,25]","MASCULINO",14370,"RJ",2019
"(25,30]","FEMININO",49230,"RJ",2019
"(25,30]","MASCULINO",13970,"RJ",2019
"(30,35]","FEMININO",38256,"RJ",2019
"(30,35]","MASCULINO",14269,"RJ",2019
"(35,40]","FEMININO",30910,"RJ",2019
"(35,40]","MASCULINO",16499,"RJ",2019
"(40,50]","FEMININO",41730,"RJ",2019
"(40,50]","MASCULINO",36424,"RJ",2019
"(50,60]","FEMININO",46708,"RJ",2019
"(50,60]","MASCULINO",52203,"RJ",2019
"(60,70]","FEMININO",48775,"RJ",2019
"(60,70]","MASCULINO",57038,"RJ",2019
"(70,80]","FEMININO",36283,"RJ",2019
"(70,80]","MASCULINO",36200,"RJ",2019
"(80,Inf]","FEMININO",26775,"RJ",2019
"(80,Inf]","MASCULINO",17491,"RJ",2019
NA,"FEMININO",6745,"RJ",2019
NA,"MASCULINO",6857,"RJ",2019
