"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",1519,"RN",2018
"(0,1]","MASCULINO",2004,"RN",2018
"(1,5]","FEMININO",4120,"RN",2018
"(1,5]","MASCULINO",5375,"RN",2018
"(5,10]","FEMININO",2846,"RN",2018
"(5,10]","MASCULINO",4118,"RN",2018
"(10,15]","FEMININO",3250,"RN",2018
"(10,15]","MASCULINO",2728,"RN",2018
"(15,20]","FEMININO",12806,"RN",2018
"(15,20]","MASCULINO",2941,"RN",2018
"(20,25]","FEMININO",15763,"RN",2018
"(20,25]","MASCULINO",3570,"RN",2018
"(25,30]","FEMININO",14481,"RN",2018
"(25,30]","MASCULINO",3472,"RN",2018
"(30,35]","FEMININO",12259,"RN",2018
"(30,35]","MASCULINO",3967,"RN",2018
"(35,40]","FEMININO",8636,"RN",2018
"(35,40]","MASCULINO",4135,"RN",2018
"(40,50]","FEMININO",10204,"RN",2018
"(40,50]","MASCULINO",8394,"RN",2018
"(50,60]","FEMININO",8618,"RN",2018
"(50,60]","MASCULINO",9918,"RN",2018
"(60,70]","FEMININO",8111,"RN",2018
"(60,70]","MASCULINO",8949,"RN",2018
"(70,80]","FEMININO",7132,"RN",2018
"(70,80]","MASCULINO",7070,"RN",2018
"(80,Inf]","FEMININO",5958,"RN",2018
"(80,Inf]","MASCULINO",4449,"RN",2018
NA,"FEMININO",1475,"RN",2018
NA,"MASCULINO",1631,"RN",2018
