"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",1315,"RO",2021
"(0,1]","MASCULINO",1616,"RO",2021
"(1,5]","FEMININO",2592,"RO",2021
"(1,5]","MASCULINO",3249,"RO",2021
"(5,10]","FEMININO",1938,"RO",2021
"(5,10]","MASCULINO",2657,"RO",2021
"(10,15]","FEMININO",1789,"RO",2021
"(10,15]","MASCULINO",1685,"RO",2021
"(15,20]","FEMININO",7354,"RO",2021
"(15,20]","MASCULINO",2328,"RO",2021
"(20,25]","FEMININO",9586,"RO",2021
"(20,25]","MASCULINO",2912,"RO",2021
"(25,30]","FEMININO",8347,"RO",2021
"(25,30]","MASCULINO",2967,"RO",2021
"(30,35]","FEMININO",6298,"RO",2021
"(30,35]","MASCULINO",3185,"RO",2021
"(35,40]","FEMININO",4782,"RO",2021
"(35,40]","MASCULINO",3544,"RO",2021
"(40,50]","FEMININO",6913,"RO",2021
"(40,50]","MASCULINO",7592,"RO",2021
"(50,60]","FEMININO",5844,"RO",2021
"(50,60]","MASCULINO",8110,"RO",2021
"(60,70]","FEMININO",5133,"RO",2021
"(60,70]","MASCULINO",7225,"RO",2021
"(70,80]","FEMININO",3805,"RO",2021
"(70,80]","MASCULINO",4945,"RO",2021
"(80,Inf]","FEMININO",2361,"RO",2021
"(80,Inf]","MASCULINO",2793,"RO",2021
NA,"FEMININO",808,"RO",2021
NA,"MASCULINO",924,"RO",2021
