"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",561,"RR",2012
"(0,1]","MASCULINO",660,"RR",2012
"(1,5]","FEMININO",1015,"RR",2012
"(1,5]","MASCULINO",1257,"RR",2012
"(5,10]","FEMININO",775,"RR",2012
"(5,10]","MASCULINO",1046,"RR",2012
"(10,15]","FEMININO",996,"RR",2012
"(10,15]","MASCULINO",529,"RR",2012
"(15,20]","FEMININO",4201,"RR",2012
"(15,20]","MASCULINO",668,"RR",2012
"(20,25]","FEMININO",4214,"RR",2012
"(20,25]","MASCULINO",661,"RR",2012
"(25,30]","FEMININO",3557,"RR",2012
"(25,30]","MASCULINO",673,"RR",2012
"(30,35]","FEMININO",2295,"RR",2012
"(30,35]","MASCULINO",543,"RR",2012
"(35,40]","FEMININO",1312,"RR",2012
"(35,40]","MASCULINO",531,"RR",2012
"(40,50]","FEMININO",1395,"RR",2012
"(40,50]","MASCULINO",1034,"RR",2012
"(50,60]","FEMININO",875,"RR",2012
"(50,60]","MASCULINO",1085,"RR",2012
"(60,70]","FEMININO",624,"RR",2012
"(60,70]","MASCULINO",842,"RR",2012
"(70,80]","FEMININO",449,"RR",2012
"(70,80]","MASCULINO",709,"RR",2012
"(80,Inf]","FEMININO",304,"RR",2012
"(80,Inf]","MASCULINO",414,"RR",2012
NA,"FEMININO",557,"RR",2012
NA,"MASCULINO",540,"RR",2012
