"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",814,"RR",2021
"(0,1]","MASCULINO",1024,"RR",2021
"(1,5]","FEMININO",1677,"RR",2021
"(1,5]","MASCULINO",2086,"RR",2021
"(5,10]","FEMININO",711,"RR",2021
"(5,10]","MASCULINO",1002,"RR",2021
"(10,15]","FEMININO",949,"RR",2021
"(10,15]","MASCULINO",543,"RR",2021
"(15,20]","FEMININO",4422,"RR",2021
"(15,20]","MASCULINO",516,"RR",2021
"(20,25]","FEMININO",5650,"RR",2021
"(20,25]","MASCULINO",774,"RR",2021
"(25,30]","FEMININO",4574,"RR",2021
"(25,30]","MASCULINO",937,"RR",2021
"(30,35]","FEMININO",2991,"RR",2021
"(30,35]","MASCULINO",779,"RR",2021
"(35,40]","FEMININO",2195,"RR",2021
"(35,40]","MASCULINO",905,"RR",2021
"(40,50]","FEMININO",1919,"RR",2021
"(40,50]","MASCULINO",1757,"RR",2021
"(50,60]","FEMININO",1239,"RR",2021
"(50,60]","MASCULINO",1714,"RR",2021
"(60,70]","FEMININO",1078,"RR",2021
"(60,70]","MASCULINO",1632,"RR",2021
"(70,80]","FEMININO",740,"RR",2021
"(70,80]","MASCULINO",1068,"RR",2021
"(80,Inf]","FEMININO",435,"RR",2021
"(80,Inf]","MASCULINO",562,"RR",2021
NA,"FEMININO",443,"RR",2021
NA,"MASCULINO",534,"RR",2021
