"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",7012,"RS",2018
"(0,1]","MASCULINO",8985,"RS",2018
"(1,5]","FEMININO",14352,"RS",2018
"(1,5]","MASCULINO",17905,"RS",2018
"(5,10]","FEMININO",9635,"RS",2018
"(5,10]","MASCULINO",13370,"RS",2018
"(10,15]","FEMININO",9177,"RS",2018
"(10,15]","MASCULINO",9271,"RS",2018
"(15,20]","FEMININO",34555,"RS",2018
"(15,20]","MASCULINO",12506,"RS",2018
"(20,25]","FEMININO",43903,"RS",2018
"(20,25]","MASCULINO",14530,"RS",2018
"(25,30]","FEMININO",40116,"RS",2018
"(25,30]","MASCULINO",14787,"RS",2018
"(30,35]","FEMININO",35511,"RS",2018
"(30,35]","MASCULINO",15302,"RS",2018
"(35,40]","FEMININO",29381,"RS",2018
"(35,40]","MASCULINO",16432,"RS",2018
"(40,50]","FEMININO",44100,"RS",2018
"(40,50]","MASCULINO",38223,"RS",2018
"(50,60]","FEMININO",51770,"RS",2018
"(50,60]","MASCULINO",57305,"RS",2018
"(60,70]","FEMININO",53307,"RS",2018
"(60,70]","MASCULINO",63379,"RS",2018
"(70,80]","FEMININO",43277,"RS",2018
"(70,80]","MASCULINO",44883,"RS",2018
"(80,Inf]","FEMININO",32656,"RS",2018
"(80,Inf]","MASCULINO",20961,"RS",2018
NA,"FEMININO",4044,"RS",2018
NA,"MASCULINO",4721,"RS",2018
